BabyAI-GoToObjDoor-v0, Seed: 3, Steps: 10
BabyAI-GoToObjDoor-v0, Seed: 4, Steps: 5
BabyAI-GoToObjDoor-v0, Seed: 5, Steps: 3
BabyAI-GoToObjDoor-v0, Seed: 6, Steps: 4
BabyAI-GoToObjDoor-v0, Seed: 7, Steps: 6
BabyAI-GoToObjDoor-v0, Seed: 8, Steps: 4
BabyAI-GoToObjDoor-v0, Seed: 9, Steps: 1
BabyAI-Open-v0, Seed: 0, Steps: 27
BabyAI-Open-v0, Seed: 1, Steps: 121
BabyAI-Open-v0, Seed: 2, Steps: 53
BabyAI-Open-v0, Seed: 3, Steps: 52
BabyAI-Open-v0, Seed: 4, Steps: 3
BabyAI-Open-v0, Seed: 5, Steps: 28
BabyAI-Open-v0, Seed: 6, Steps: 4
BabyAI-Open-v0, Seed: 7, Steps: 6
BabyAI-Open-v0, Seed: 8, Steps: 9
BabyAI-Open-v0, Seed: 9, Steps: 13
BabyAI-OpenRedDoor-v0, Seed: 0, Steps: 3
BabyAI-OpenRedDoor-v0, Seed: 1, Steps: 4
BabyAI-OpenRedDoor-v0, Seed: 2, Steps: 7
BabyAI-OpenRedDoor-v0, Seed: 3, Steps: 3
BabyAI-OpenRedDoor-v0, Seed: 4, Steps: 4
BabyAI-OpenRedDoor-v0, Seed: 5, Steps: 3
BabyAI-OpenRedDoor-v0, Seed: 6, Steps: 3
BabyAI-OpenRedDoor-v0, Seed: 7, Steps: 2
BabyAI-OpenRedDoor-v0, Seed: 8, Steps: 8
BabyAI-OpenRedDoor-v0, Seed: 9, Steps: 3
BabyAI-OpenDoor-v0, Seed: 0, Steps: 12
BabyAI-OpenDoor-v0, Seed: 1, Steps: 6
BabyAI-OpenDoor-v0, Seed: 2, Steps: 2
BabyAI-OpenDoor-v0, Seed: 3, Steps: 6
BabyAI-OpenDoor-v0, Seed: 4, Steps: 12
BabyAI-OpenDoor-v0, Seed: 5, Steps: 8
BabyAI-OpenDoor-v0, Seed: 6, Steps: 7
BabyAI-OpenDoor-v0, Seed: 7, Steps: 39
BabyAI-OpenDoor-v0, Seed: 8, Steps: 10
BabyAI-OpenDoor-v0, Seed: 9, Steps: 5
BabyAI-OpenDoorDebug-v0, Seed: 0, Steps: 2
BabyAI-OpenDoorDebug-v0, Seed: 1, Steps: 6
BabyAI-OpenDoorDebug-v0, Seed: 2, Steps: 2
BabyAI-OpenDoorDebug-v0, Seed: 3, Steps: 6
BabyAI-OpenDoorDebug-v0, Seed: 4, Steps: 12
BabyAI-OpenDoorDebug-v0, Seed: 5, Steps: 8
BabyAI-OpenDoorDebug-v0, Seed: 6, Steps: 7
BabyAI-OpenDoorDebug-v0, Seed: 7, Steps: 7
BabyAI-OpenDoorDebug-v0, Seed: 8, Steps: 10
BabyAI-OpenDoorDebug-v0, Seed: 9, Steps: 5
BabyAI-OpenDoorColor-v0, Seed: 0, Steps: 9
BabyAI-OpenDoorColor-v0, Seed: 1, Steps: 6
BabyAI-OpenDoorColor-v0, Seed: 2, Steps: 6
BabyAI-OpenDoorColor-v0, Seed: 3, Steps: 5
BabyAI-OpenDoorColor-v0, Seed: 4, Steps: 9
BabyAI-OpenDoorColor-v0, Seed: 5, Steps: 14
BabyAI-OpenDoorColor-v0, Seed: 6, Steps: 7
BabyAI-OpenDoorColor-v0, Seed: 7, Steps: 36
BabyAI-OpenDoorColor-v0, Seed: 8, Steps: 8
BabyAI-OpenDoorColor-v0, Seed: 9, Steps: 5
BabyAI-OpenDoorLoc-v0, Seed: 0, Steps: 8
BabyAI-OpenDoorLoc-v0, Seed: 1, Steps: 6
BabyAI-OpenDoorLoc-v0, Seed: 2, Steps: 8
BabyAI-OpenDoorLoc-v0, Seed: 3, Steps: 5
BabyAI-OpenDoorLoc-v0, Seed: 4, Steps: 4
BabyAI-OpenDoorLoc-v0, Seed: 5, Steps: 7
BabyAI-OpenDoorLoc-v0, Seed: 6, Steps: 2
BabyAI-OpenDoorLoc-v0, Seed: 7, Steps: 13
BabyAI-OpenDoorLoc-v0, Seed: 8, Steps: 6
BabyAI-OpenDoorLoc-v0, Seed: 9, Steps: 5
BabyAI-OpenTwoDoors-v0, Seed: 0, Steps: 13
BabyAI-OpenTwoDoors-v0, Seed: 1, Steps: 15
BabyAI-OpenTwoDoors-v0, Seed: 2, Steps: 19
BabyAI-OpenTwoDoors-v0, Seed: 3, Steps: 13
BabyAI-OpenTwoDoors-v0, Seed: 4, Steps: 19
BabyAI-OpenTwoDoors-v0, Seed: 5, Steps: 11
BabyAI-OpenTwoDoors-v0, Seed: 6, Steps: 13
BabyAI-OpenTwoDoors-v0, Seed: 7, Steps: 13
BabyAI-OpenTwoDoors-v0, Seed: 8, Steps: 12
BabyAI-OpenTwoDoors-v0, Seed: 9, Steps: 16
BabyAI-OpenRedBlueDoors-v0, Seed: 0, Steps: 13
BabyAI-OpenRedBlueDoors-v0, Seed: 1, Steps: 15
BabyAI-OpenRedBlueDoors-v0, Seed: 2, Steps: 19
BabyAI-OpenRedBlueDoors-v0, Seed: 3, Steps: 13
BabyAI-OpenRedBlueDoors-v0, Seed: 4, Steps: 19
BabyAI-OpenRedBlueDoors-v0, Seed: 5, Steps: 11
BabyAI-OpenRedBlueDoors-v0, Seed: 6, Steps: 13
BabyAI-OpenRedBlueDoors-v0, Seed: 7, Steps: 13
BabyAI-OpenRedBlueDoors-v0, Seed: 8, Steps: 12
BabyAI-OpenRedBlueDoors-v0, Seed: 9, Steps: 16
BabyAI-OpenRedBlueDoorsDebug-v0, Seed: 0, Steps: 13
BabyAI-OpenRedBlueDoorsDebug-v0, Seed: 1, Steps: 15
BabyAI-OpenRedBlueDoorsDebug-v0, Seed: 2, Steps: 19
BabyAI-OpenRedBlueDoorsDebug-v0, Seed: 3, Steps: 13
BabyAI-OpenRedBlueDoorsDebug-v0, Seed: 4, Steps: 19
BabyAI-OpenRedBlueDoorsDebug-v0, Seed: 5, Steps: 11
BabyAI-OpenRedBlueDoorsDebug-v0, Seed: 6, Steps: 13
